Date,Book
2017-02-06,Getting Started with LLVM Core Libraries
2017-05-03,Tkinter GUI Application Development Blueprints
2017-05-08,Learning Linux Binary Analysis
2017-05-09,Machine Learning with R - Second Edition
2017-05-12,Practical Linux Security Cookbook
2017-05-13,Learning AWS
2017-05-14,Unity 5.x Shaders and Effects Cookbook
2017-05-16,GitHub Essentials
2017-05-19,Learning Robotics Using Python
2017-05-28,Python 3 Object-oriented Programming - Second Edition
2017-05-30,Learning JavaScript Data Structures and Algorithms
2017-08-02,Mastering Python for Finance
